	T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA-DJ-A3V9-01A	6.904634882	7.159871337	5.380312939	3.46118268	7.672862341	9.812861145	6.794163813	8.215314912	10.83225384	12.377627
TCGA-DJ-A3VA-01A	7.045818654	7.807354922	6.173454799	3.322019402	7.35901389	9.325757228	6.828631038	7.668417063	9.949516586	10.46518389
TCGA-DJ-A3VB-01A	7.621890153	7.228818691	5.737455445	3.361644913	5.552451534	9.974035732	8.73855996	7.734099207	9.73981908	12.20753321
TCGA-DJ-A3VD-01A	8.699052733	8.118941073	6.00898508	3.941561047	11.58358553	10.62657198	9.786108775	8.035254044	9.776015594	13.85391954
TCGA-DJ-A3VE-01A	5.521470139	8.209453366	4.957097511	2.897178659	6.194870787	8.835847229	6.442411655	7.428484217	10.46364458	11.41158064
TCGA-DJ-A3VF-01A	7.964615942	6.357552005	5.831434684	2.487204097	6.203512054	10.22179118	10.74759568	8.067371935	10.13904068	15.01333339
TCGA-DJ-A3VG-01A	5.793672072	5.584962501	4.945360478	3.331682175	5.028142988	9.088738622	6.191917031	7.52991353	10.76857896	11.61007039
TCGA-DJ-A3VI-01A	6.491239358	6.781359714	5.617728105	2.831026592	7.49643093	8.479237848	5.937623725	6.691386792	9.267165647	9.812167482
TCGA-DJ-A3VJ-01A	7.58973101	8.044394119	5.830056393	2.532835268	6.562062244	9.725457098	7.74263113	8.159261975	10.63314323	12.20423432
TCGA-DJ-A3VK-01A	5.920383597	5.426264755	5.466865972	3.220864431	5.525763707	9.046324249	4.76882179	8.061567873	10.9016606	11.42348689
TCGA-DJ-A3VL-01A	7.611574106	8.503825738	6.076126862	3.688120387	8.279163525	9.753438033	5.21658603	8.0635353	9.940265885	11.12196172
TCGA-DJ-A3VM-01A	5.604629566	3.807354922	3.63424547	2.434593275	6.184224203	8.133480529	4.750736498	7.009177417	10.5465824	11.19474248
TCGA-DJ-A4UL-01A	7.124440699	6.781359714	6.1562954	3.080685536	4.683622864	9.018705064	6.524333349	7.060162149	9.303696375	10.6083756
TCGA-DJ-A4UP-01A	8.666043985	8.491853096	6.173874421	3.851591895	11.0297648	9.87743479	8.391259459	8.389627987	10.38477246	12.229905
TCGA-DJ-A4UQ-01A	6.743609007	6.266786541	5.104292493	2.896910799	7.072758133	9.346670801	7.151048009	7.833163218	10.17991864	12.54317583
TCGA-DJ-A4UR-01A	6.001105336	5.169925001	4.693180896	2.396709642	5.53485721	8.492804864	3.590238236	6.253986548	10.07051768	10.99537215
TCGA-DJ-A4UT-01A	8.494525698	8.312882955	6.830415384	4.894652788	7.134851207	9.953418056	8.194629608	7.66140418	10.19153733	13.14184113
TCGA-DJ-A4UW-01A	7.106444367	5.614709844	5.208670457	2.662870019	7.316356008	9.251222231	9.050708321	6.915283762	10.71192156	13.91528482
TCGA-DJ-A4V0-01A	8.932643472	8.794415866	6.834596834	4.52947804	10.57168292	10.48452756	7.66365061	7.955880556	10.39489524	12.23110541
TCGA-DJ-A4V2-01A	6.921363774	6.584962501	4.281665442	1.719360938	5.998146578	9.721790246	8.027226881	7.429357153	9.374297421	10.90615214
TCGA-DJ-A4V4-01A	6.312278595	5.754887502	4.854846213	1.707722262	7.198422019	8.511490972	7.916453934	6.843973316	9.676203284	11.96978675
TCGA-DJ-A4V5-01A	7.99485149	7.276124405	6.308793281	3.85910197	7.367195543	10.16332387	9.754316441	8.188732516	10.31145481	12.18050871
TCGA-DK-A1A3-01A	6.73464246	5.906890596	4.382791922	2.252709255	6.111871293	9.208186423	7.250332795	5.471610392	8.800756066	13.60224892
TCGA-DK-A1A5-01A	6.163416524	5.781359714	4.209337981	3.032672631	3.19807628	9.42755927	5.957958507	6.913572842	8.86527253	15.66514848
TCGA-DK-A1A6-01A	7.730070433	8.266786541	6.560847238	5.079621199	2.975983675	9.708794775	4.298644328	6.533339092	7.754638465	13.23656575
TCGA-DK-A1A7-01A	6.831024702	5.614709844	3.62728739	1.957722262	8.233013423	7.408468303	6.533612746	6.788395778	8.688076407	11.99764502
TCGA-DK-A1AA-01A	5.810637353	4.459431619	3.609696402	3.09055299	3.342358996	8.211498719	7.005051974	8.164132229	9.376962353	11.60711094
TCGA-DK-A1AB-01A	7.141798827	6.459431619	4.851028905	3.85142463	5.78122135	10.26261118	7.38756367	8.778772569	9.177243156	15.85570242
TCGA-DK-A1AC-01A	7.83516683	8.14974712	5.92370693	4.139346586	5.094308955	9.875315887	4.979576512	6.820977458	8.274576011	13.4312013
TCGA-DK-A1AD-01A	6.369098112	6.285402219	4.058334986	2.174391555	5.663080075	10.02581137	6.722913869	7.163640351	8.191720188	13.70794966
TCGA-DK-A1AE-01A	6.592798046	5.781359714	6.449261077	4.463626649	3.459035969	9.088665436	6.146157446	6.640795748	8.208567419	13.04067382
TCGA-DK-A1AF-01A	8.458550262	8.06608919	6.4852643	3.1788148	7.79599114	10.57226159	7.975809461	9.406013664	11.20634468	16.29567777
TCGA-DK-A1AG-01A	6.452072282	6.614709844	4.617252446	2.580833901	4.10746733	7.768986449	3.918617401	8.533941631	8.691042196	10.30623109
TCGA-DK-A2HX-01A	6.408902212	5.321928095	4.190165983	2.707722262	5.78097339	9.181629181	5.872251176	7.685700583	9.675571135	16.1588053
TCGA-DK-A2I1-01A	7.055968031	6.108524457	4.077525377	2.082387995	8.285681094	9.667074355	7.746002859	7.323732439	9.45283676	15.11792989
TCGA-DK-A2I2-01A	6.176987422	5.672425342	4.748963969	2.804412746	3.942549813	10.41259236	9.02654331	8.379357519	8.738339106	13.99072092
TCGA-DK-A2I4-01A	9.024723688	9.876516947	8.265171996	7.474719297	8.228942205	12.0955765	6.561791158	7.55371684	9.580206837	15.08623737
TCGA-DK-A2I6-01A	5.108325336	5.247927513	3.865601885	1.805949982	3.792691157	7.689644687	4.977328799	6.063466645	8.053134097	13.21905069
TCGA-DK-A3IK-01A	6.39463013	5.554588852	3.879921335	2.626534418	7.949820002	7.918504552	5.609395683	7.142894459	8.958164005	14.10706539
TCGA-DK-A3IL-01A	6.105590824	3	2.787646734	2.008092846	8.592056038	6.852497701	4.849880042	6.006942623	7.898996088	13.03410235
TCGA-DK-A3IM-01A	4.468366715	2.584962501	3.672080797	1.58928069	4.551214159	7.956587577	5.759831975	7.247720747	7.216789443	11.16529944
TCGA-DK-A3IN-01A	6.743889304	6.794415866	4.902038874	2.756197505	5.561414762	10.37648438	5.130518308	7.688899825	8.975282746	14.69740185
