	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
TCGA-06-5859-01A	0.00401186	0.009288054	0.153027046	0.026164313	0.052917496	0.000504035	6.06E-09	0.754087189
TCGA-06-AABW-11A	0.004286649	0.005495951	0.127541249	0.017043605	0.02221545	0.000418016	1.74E-09	0.822999078
TCGA-08-0386-01A	0.003514183	0.009627196	0.161321709	0.023335607	0.028438167	0.000293386	6.48E-10	0.773469752
TCGA-09-0364-01A	3.30E-05	0.008679485	0.228463384	0.024950843	0.018113128	0.000529776	1.91E-09	0.719230404
TCGA-09-0366-01A	0.000824517	0.006511204	0.152705018	0.01566277	0.107418164	6.08E-05	1.05E-07	0.716817375
TCGA-09-0367-01A	6.61E-08	0.01051484	0.139215666	0.010177032	0.024809662	4.63E-05	7.06E-10	0.815236435
TCGA-09-0369-01A	0.000102955	0.019394111	0.267816076	0.015910632	0.041582702	9.61E-05	9.35E-10	0.655097397
TCGA-09-1659-01B	0.000932104	0.005563244	0.146360475	0.011435542	0.033249976	3.67E-05	2.28E-09	0.802421977
TCGA-09-1661-01B	7.58E-08	0.004948689	0.135816337	0.006921468	0.014619101	0.000119842	5.13E-10	0.837574486
TCGA-09-1662-01A	7.90E-06	0.010935521	0.260055155	0.015829234	0.03905416	2.84E-05	2.95E-10	0.674089585
TCGA-09-1665-01B	0.001721432	0.017077331	0.105399894	0.013476432	0.021644607	0.000195589	1.80E-09	0.840484714
TCGA-09-1666-01A	0.00152105	0.01006434	0.190935841	0.01347395	0.042909806	9.77E-05	6.46E-10	0.740997323
TCGA-09-1667-01C	1.37E-06	0.007077104	0.234360176	0.026228415	0.028635488	0.000157231	2.85E-10	0.70354022
TCGA-09-1668-01B	0.000198936	0.005734751	0.207833322	0.010548857	0.031710728	0.000245141	1.87E-09	0.743728263
TCGA-09-1669-01A	0.00903339	0.01472686	0.261922589	0.2092756	0.063307121	3.76E-05	3.07E-08	0.441696829
TCGA-09-1670-01A	1.88E-05	0.006306711	0.194258185	0.01660424	0.027538487	0.000413836	7.23E-10	0.754859698
