"","seq1","seq2","seq3","seq4","seq5","seq6","seq7","seq8","seq9"
"KMT2D",0.130354675264855,0.104294478527607,0.25,0.140369393139842,0.121951219512195,0.140127388535032,0.121261777959853,0.0947075208913649,0.15948275862069
"KRAS",0.106863196683556,0.098159509202454,0.184210526315789,0.120844327176781,0.109756097560976,0.24203821656051,0.0839819746005735,0.0222841225626741,0.0818965517241379
"LMO2",0.0119760479041916,0,0.0263157894736842,0.00422163588390501,0.0182926829268293,0.00636942675159236,0.00737402703809914,0.00835654596100279,0.0129310344827586
"MAF",0.0354675264854906,0.0184049079754601,0.0263157894736842,0.0253298153034301,0.0121951219512195,0,0.0151577222449816,0.00835654596100279,0.0172413793103448
"MAFB",0.0161216029479503,0,0.0131578947368421,0.0121372031662269,0.00609756097560976,0.00636942675159236,0.0102417042195821,0.00278551532033426,0.0258620689655172
"MALT1",0.0138185168125288,0.00613496932515337,0,0.0200527704485488,0.0121951219512195,0.00636942675159236,0.0139287177386317,0.0167130919220056,0.0258620689655172
"MAP2K1",0.0142791340396131,0.0184049079754601,0.0131578947368421,0.0205804749340369,0.0121951219512195,0.0191082802547771,0.0122900450634986,0.00278551532033426,0.021551724137931
"MAP2K2",0.011054813450023,0.0184049079754601,0,0.0131926121372032,0.0304878048780488,0,0.00942236788201557,0.011142061281337,0.0172413793103448
"MEF2B",0.011054813450023,0,0,0.0110817941952507,0.00609756097560976,0,0.00901269971323228,0.0139275766016713,0.00431034482758621
"MET",0.0396130815292492,0.00613496932515337,0.0526315789473684,0.0321899736147757,0.0426829268292683,0.0318471337579618,0.0299057763211798,0.0278551532033426,0.0560344827586207
"MLLT10",0.0290188853063105,0.0245398773006135,0.0526315789473684,0.0216358839050132,0.024390243902439,0.00636942675159236,0.0266284309709136,0.00557103064066852,0.0172413793103448
"MPL",0.0142791340396131,0.0122699386503067,0.0394736842105263,0.012664907651715,0.024390243902439,0.00636942675159236,0.0155673904137649,0.00835654596100279,0.0172413793103448
"MTOR",0.0649470290188853,0.0306748466257669,0.105263157894737,0.0480211081794195,0.0670731707317073,0.0382165605095541,0.0434248258910283,0.0445682451253482,0.0344827586206897
"MYC",0.0179640718562874,0.0184049079754601,0.0131578947368421,0.0137203166226913,0.0182926829268293,0.0191082802547771,0.0159770585825481,0.00557103064066852,0.0129310344827586
"MYD88",0.00921234454168586,0.00613496932515337,0,0.0105540897097625,0.0182926829268293,0,0.008603031544449,0,0.021551724137931
"NF1",0.0907415937356057,0.0920245398773006,0.105263157894737,0.0807387862796834,0.0670731707317073,0.0828025477707006,0.0675952478492421,0.0612813370473538,0.0862068965517241
"NOTCH1",0.053431598341778,0.0613496932515337,0.144736842105263,0.0575197889182058,0.0365853658536585,0.0318471337579618,0.060221220811143,0.0278551532033426,0.0646551724137931
"NOTCH2",0.0483648088438508,0.0736196319018405,0.0921052631578947,0.0453825857519789,0.0548780487804878,0.0318471337579618,0.0405571487095453,0.0250696378830084,0.0560344827586207
"NPM1",0.011054813450023,0,0,0.00949868073878628,0.0121951219512195,0,0.0102417042195821,0,0.0129310344827586
"NRAS",0.0479041916167665,0.0306748466257669,0.0657894736842105,0.024802110817942,0.0426829268292683,0.0509554140127389,0.034412126177796,0.0278551532033426,0.0387931034482759
"NRG1",0.0446798710271764,0.0736196319018405,0.0526315789473684,0.0432717678100264,0.0304878048780488,0.0191082802547771,0.0405571487095453,0.0250696378830084,0.0474137931034483
"NTRK1",0.0304007369875633,0.0122699386503067,0.0131578947368421,0.0274406332453826,0.0426829268292683,0.0191082802547771,0.0270380991396968,0.0278551532033426,0.0258620689655172
"NTRK2",0.0386918470750806,0.0306748466257669,0.0657894736842105,0.0321899736147757,0.0487804878048781,0.0254777070063694,0.0237607537894306,0.0389972144846797,0.0387931034482759
"NTRK3",0.0580377706126209,0.049079754601227,0.0526315789473684,0.0532981530343008,0.0792682926829268,0.0445859872611465,0.0483408439164277,0.0250696378830084,0.0344827586206897
"PALB2",0.0230308613542146,0.0245398773006135,0.0394736842105263,0.0295514511873351,0.0426829268292683,0,0.0217124129455141,0.011142061281337,0.0258620689655172
"PDCD1LG2",0.0115154306771073,0.00613496932515337,0,0.00738786279683377,0.0121951219512195,0,0.00696435886931585,0.011142061281337,0.00431034482758621
"PDGFB",0.0207277752187932,0.0184049079754601,0.0131578947368421,0.00738786279683377,0.00609756097560976,0,0.00819336337566571,0.00278551532033426,0.00431034482758621
