,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000177627,-0.512431074355853,-2.8203560378129,-2.54842753441955,0.0108814453995166,0.0412413375457074,-3.29800562891976
ENSG00000144134,-0.174038993609585,2.72131494288624,-2.65680496412934,0.00793964726691441,0.0323251159820156,-3.2983711206511
ENSG00000272512,-0.37301998961596,0.018561213281903,-2.57378028473539,0.0101176396810666,0.0389028968946864,-3.29848658874837
ENSG00000138002,-0.178617363617549,4.9406175092159,-2.75687738998616,0.00587883200109413,0.0255269155687004,-3.29855474318066
ENSG00000155465,-0.327148485219907,3.98340922572732,-2.70801612603812,0.00681566556685109,0.0287440356020849,-3.2991947160816
ENSG00000164815,0.138144275272058,4.06192843088901,2.73146922272527,0.00635041732777674,0.0271300517837031,-3.30055134848088
ENSG00000165682,0.378087869158878,-3.93813217954448,2.54843964888067,0.0108810685014369,0.0412413375457074,-3.30079860138198
ENSG00000173535,-0.387306221047878,1.68320792424734,-2.61149916086105,0.00906957663571353,0.035812185358316,-3.3011210921982
ENSG00000255284,0.214956631298384,1.37725466696309,2.61924744533325,0.00886669405461976,0.0351921540619257,-3.30215430343049
ENSG00000272994,-0.179776956437156,0.887405189708434,-2.59340683785111,0.00955954256492615,0.0372396707104912,-3.3031005409278
ENSG00000175137,0.121390205040448,5.36675552528555,2.78635494915997,0.00537146060514016,0.0238538318706892,-3.3038045137634
ENSG00000007062,-0.952029776341331,2.88805712445797,-2.62768033988037,0.00865050426280113,0.0345445679807491,-3.30556116800904
ENSG00000133065,-0.233783422016237,5.28670916337658,-2.76784565672173,0.00568520166742481,0.0249075081598765,-3.30565583278141
ENSG00000138778,0.381408958243535,2.68520914267347,2.67229502910919,0.00758330506555761,0.0312157428633301,-3.30588756768565
ENSG00000182798,0.488941613249925,-3.71839622969733,2.54516083070165,0.0109835018459134,0.0415224441685433,-3.30597924070636
ENSG00000243974,-0.303333018135146,-4.3861080506553,-2.55653306492235,0.0106318506181388,0.0404670365341405,-3.30616503247941
ENSG00000101307,-0.415276543046674,0.39384397160536,-2.57667911649152,0.0100334230097779,0.0386551343851324,-3.30666662261821
ENSG00000247828,-0.201714940588813,2.44536504165205,-2.64240064647901,0.00828440078918706,0.0333853130398635,-3.30721683741373
ENSG00000128849,0.433374228547851,4.7308137372904,2.77294801920163,0.00559710332080675,0.0246250494772739,-3.30791361291822
ENSG00000254042,0.401417174551678,-4.53672077307171,2.55049774042399,0.0108172066302491,0.0410476234119695,-3.3081283709674
ENSG00000069399,0.249737881316827,5.75536242861876,2.80397348515622,0.00508743941224688,0.0228982374466871,-3.30844037753356
ENSG00000234424,-0.269887829557056,-4.80268738416561,-2.56067907195475,0.0105061620336814,0.0401156031834351,-3.30860950020474
ENSG00000279480,-0.318528238142135,-5.31913371719119,-2.56751594740798,0.0103017851907152,0.0395040739935347,-3.3088235720315
